"prodcode","CodingSystem","productname","gemscriptcode"
"1426","prodcode","Flixotide 500microgram Disc (Allen & Hanburys Ltd)","75187020"
"1518","prodcode","Flixotide 50microgram/actuation Inhalation powder (Allen & Hanburys Ltd)","74986020"
"1537","prodcode","Becotide 200microgram Rotacaps (GlaxoSmithKline UK Ltd)","53711020"
"1551","prodcode","Beclazone 250 inhaler (Teva UK Ltd)","56477020"
"1552","prodcode","Becloforte easi-breathe 250microgram/actuation Pressurised inhalation (Allen & Hanburys Ltd)","84970020"
"1619","prodcode","Terbutaline 500micrograms/dose dry powder inhaler","74122020"
"1620","prodcode","Terbutaline 250micrograms/dose inhaler","66882020"
"1628","prodcode","Terbutaline 250micrograms/actuation refill canister","66884020"
"1629","prodcode","Intal 20mg/2ml nebuliser solution unit dose vials (Aventis Pharma)","56159020"
"1630","prodcode","Salbutamol 2.5mg/2.5ml nebuliser liquid unit dose vials","67862020"
"1635","prodcode","Salbuvent 2mg/5ml Oral solution (Pharmacia Ltd)","69348020"
"1642","prodcode","Budesonide 400micrograms/dose dry powder inhaler","52570020"
"1676","prodcode","Flixotide 125microgram/actuation Inhalation powder (Allen & Hanburys Ltd)","74987020"
"1680","prodcode","Pulmicort LS 50micrograms/dose inhaler (AstraZeneca UK Ltd)","53690020"
"1683","prodcode","Intal 20mg Spincaps (Sanofi)","49948020"
"1697","prodcode","Atrovent 20micrograms/dose Autohaler (Boehringer Ingelheim Ltd)","75004020"
"1698","prodcode","Salbutamol 100micrograms/dose breath actuated inhaler","69893020"
"1711","prodcode","Salbutamol 5mg/2.5ml nebuliser liquid unit dose vials","67863020"
"1725","prodcode","Beclazone 50 Easi-Breathe inhaler (Teva UK Ltd)","79400020"
"1727","prodcode","Becotide easi-breathe 50microgram/actuation Pressurised inhalation (Allen & Hanburys Ltd)","84967020"
"1728","prodcode","Cromogen 5mg/dose Easi-Breathe inhaler (Teva UK Ltd)","83993020"
"1734","prodcode","Beclometasone 100micrograms/dose breath actuated inhaler","74422020"
"1741","prodcode","Salbutamol 100micrograms/dose breath actuated inhaler CFC free","86841020"
"1794","prodcode","Berotec 100microgram/actuation Inhalation powder (Boehringer Ingelheim Ltd)","48393020"
"1801","prodcode","Ventide inhaler (GlaxoSmithKline UK Ltd)","53748020"
"1832","prodcode","Theograd 350mg Tablet (Abbott Laboratories Ltd)","67011020"
"1833","prodcode","Theophylline 200mg modified-release tablets","66985020"
"1834","prodcode","Theophylline 400mg modified-release tablets","66991020"
"1861","prodcode","AeroBec 100 Autohaler (Meda Pharmaceuticals Ltd)","54707020"
"1882","prodcode","Ventodisks 200microgram/blister Disc (Allen & Hanburys Ltd)","68214020"
"1885","prodcode","Beclazone 200 inhaler (Teva UK Ltd)","81155020"
"1950","prodcode","Ventodisks 400microgram/blister Disc (Allen & Hanburys Ltd)","68215020"
"1951","prodcode","Becodisks 400microgram Disc (Allen & Hanburys Ltd)","68211020"
"1952","prodcode","Ventolin 400microgram Rotacaps (GlaxoSmithKline UK Ltd)","52219020"
"1956","prodcode","Pulmicort 1mg Respules (AstraZeneca UK Ltd)","65885020"
"1957","prodcode","Ventolin 5mg Nebules (GlaxoSmithKline UK Ltd)","52235020"
"1959","prodcode","Pulmicort 0.5mg Respules (AstraZeneca UK Ltd)","65884020"
"1960","prodcode","Volmax 8mg modified-release tablets (GlaxoSmithKline UK Ltd)","68237020"
"1961","prodcode","Volmax 4mg modified-release tablets (GlaxoSmithKline UK Ltd)","68236020"
"1962","prodcode","Atrovent udv 0.25mg/ml Nebuliser liquid (Boehringer Ingelheim Ltd)","54914020"
"1974","prodcode","Oxis 12 Turbohaler (AstraZeneca UK Ltd)","85749020"
"1975","prodcode","Oxis 6 Turbohaler (AstraZeneca UK Ltd)","85747020"
"2020","prodcode","Berotec 200micrograms/dose inhaler (Boehringer Ingelheim Ltd)","48391020"
"2092","prodcode","Budesonide 200micrograms/dose dry powder inhaler","52569020"
"2125","prodcode","Pulmicort 200microgram Refill canister (AstraZeneca UK Ltd)","53686020"
"2147","prodcode","Theophylline 250mg modified-release capsules","66996020"
"2148","prodcode","Beclometasone 400microgram disc","69624020"
"2152","prodcode","Ipratropium bromide with salbutamol 20mcg + 100mcg","75512020"
"2158","prodcode","Sodium cromoglicate 5mg/dose breath actuated inhaler","61062020"
"2159","prodcode","AeroBec 50 Autohaler (Meda Pharmaceuticals Ltd)","54705020"
"2160","prodcode","Beclometasone 50micrograms/dose breath actuated inhaler","74421020"
"2224","prodcode","Serevent 50micrograms/dose Accuhaler (GlaxoSmithKline UK Ltd)","74020020"
"2229","prodcode","Becodisks 100microgram Disc (Allen & Hanburys Ltd)","68209020"
"2282","prodcode","Fluticasone propionate 500micrograms/dose dry powder inhaler","79605020"
"2335","prodcode","Qvar 100 inhaler (Teva UK Ltd)","86874020"
"2395","prodcode","SALBUTAMOL 2 MG/5ML SYR","06913007"
"2440","prodcode","Flixotide accuhaler 500 500microgram/inhalation Inhalation powder (Allen & Hanburys Ltd)","79578020"
"2600","prodcode","Beclometasone 250micrograms/dose breath actuated inhaler","74423020"
"2609","prodcode","Franol tablets (Sanofi)","52390020"
"2655","prodcode","Airomir 100micrograms/dose inhaler (Teva UK Ltd)","79415020"
"2722","prodcode","Duovent inhaler (Boehringer Ingelheim Ltd)","49125020"
"2723","prodcode","Fluticasone 25micrograms/dose inhaler","74990020"
"2757","prodcode","Slo-phyllin 250mg Capsule (Lipha Pharmaceuticals Ltd)","51578020"
"2758","prodcode","Bricanyl Refill canister (AstraZeneca UK Ltd)","58865020"
"2850","prodcode","Salbutamol 400microgram inhalation powder capsules","67867020"
"2851","prodcode","Ventolin 200microgram Rotacaps (GlaxoSmithKline UK Ltd)","52218020"
"2862","prodcode","Duovent Autohaler (Boehringer Ingelheim Ltd)","75007020"
"2869","prodcode","Salbutamol 8mg modified-release tablets","69672020"
"2892","prodcode","Becloforte 400microgram disks (GlaxoSmithKline UK Ltd)","57935020"
"2893","prodcode","Beclometasone 200micrograms disc","69623020"
"2911","prodcode","Sodium cromoglicate 20mg inhalation powder capsules","61049020"
"2951","prodcode","Fluticasone 250microgram/actuation Pressurised inhalation","75179020"
"2978","prodcode","Salbutamol 200micrograms/dose dry powder inhaler","69894020"
"2992","prodcode","Beclazone 50 inhaler (Teva UK Ltd)","56475020"
"2994","prodcode","Atrovent aerocaps 40microgram Inhalation powder (Boehringer Ingelheim Ltd)","72270020"
"2995","prodcode","Nuelin SA 175mg tablets (Meda Pharmaceuticals Ltd)","52855020"
"3018","prodcode","Beclometasone 50micrograms/dose inhaler","69245020"
"3075","prodcode","Becotide 400microgram Rotacaps (GlaxoSmithKline UK Ltd)","53712020"
"3119","prodcode","Becloforte integra 250microgram/actuation Inhaler with compact spacer (Glaxo Laboratories Ltd)","79444020"
"3150","prodcode","Beclometasone 100micrograms/actuation extrafine particle cfc free inhaler","86871020"
"3163","prodcode","Salbutamol 200micrograms disc","69627020"
"3187","prodcode","Choledyl 62.5mg/5ml Oral solution (Parke-davis Research Laboratories)","48658020"
"3220","prodcode","Qvar 50 Autohaler (Teva UK Ltd)","86883020"
"3254","prodcode","Salbulin 4mg Tablet (3M Health Care Ltd)","52876020"
"3289","prodcode","Flixotide 25micrograms/dose inhaler (GlaxoSmithKline UK Ltd)","74985020"
"3297","prodcode","Salmeterol 50micrograms disc","74014020"
"3305","prodcode","Combivent nebuliser liquid 2.5ml UDVs (Boehringer Ingelheim Ltd)","79627020"
"3306","prodcode","Atrovent Forte 40micrograms/dose inhaler (Boehringer Ingelheim Ltd)","58545020"
"3363","prodcode","Becloforte 400microgram disks with Diskhaler (GlaxoSmithKline UK Ltd)","57934020"
"3374","prodcode","Ketotifen 1mg tablets","63895020"
"3388","prodcode","Theophylline 175mg modified-release tablets","66984020"
"3443","prodcode","Salbutamol 100microgram/inhalation Spacehaler (Celltech Pharma Europe Ltd)","81503020"
"3546","prodcode","Qvar 50 inhaler (Teva UK Ltd)","86873020"
"3556","prodcode","Beclometasone 50micrograms with salbutamol 100micrograms/inhalation inhaler","64090020"
"3570","prodcode","Budesonide 200micrograms/actuation refill canister","73584020"
"3585","prodcode","Steri-neb cromogen 10mg/ml Nebuliser liquid (IVAX Pharmaceuticals UK Ltd)","56512020"
"3666","prodcode","Seretide 500 Accuhaler (GlaxoSmithKline UK Ltd)","77232020"
"3688","prodcode","Tilade 2mg/dose inhaler (Sanofi)","59164020"
"3743","prodcode","Filair 50 inhaler (Meda Pharmaceuticals Ltd)","48110020"
"3763","prodcode","TERBUTALINE RESPULES INH","03195007"
"3786","prodcode","Fenoterol 100micrograms/dose / Ipratropium 40micrograms/dose inhaler","61825020"
"3787","prodcode","Zaditen 1mg Tablet (Novartis Pharmaceuticals UK Ltd)","52326020"
"3838","prodcode","SALBUTAMOL 400MCG/BECLOMETH.100MCG R/CAP INH","06673007"
"3927","prodcode","Filair 100 inhaler (Meda Pharmaceuticals Ltd)","48111020"
"3947","prodcode","Becotide 100microgram Rotacaps (GlaxoSmithKline UK Ltd)","53710020"
"3989","prodcode","Flixotide 100microgram Disc (Allen & Hanburys Ltd)","74454020"
"3993","prodcode","Filair Forte 250micrograms/dose inhaler (Meda Pharmaceuticals Ltd)","54871020"
"3994","prodcode","Salbutamol 4mg modified-release tablets","69671020"
"4055","prodcode","Salbulin 2mg/5ml Oral solution (3M Health Care Ltd)","52880020"
"4100","prodcode","Intal autohaler 5 5mg/inhalation Pressurised inhalation (Aventis Pharma)","55097020"
"4131","prodcode","Fluticasone 100microgram Disc","74459020"
"4132","prodcode","Fluticasone 125microgram/actuation Pressurised inhalation","74992020"
"4171","prodcode","Ventolin 2mg Tablet (Allen & Hanburys Ltd)","52202020"
"4222","prodcode","Bricanyl 10mg/ml respirator solution (AstraZeneca UK Ltd)","48453020"
"4268","prodcode","Ipratropium bromide 40micrograms/dose inhaler","63612020"
"4306","prodcode","BECLOMETHASONE DIPROPRIONATE CART 100 MCG","06378007"
"4365","prodcode","Beclometasone 100micrograms disc","69622020"
"4413","prodcode","Qvar 100 Autohaler (Teva UK Ltd)","86884020"
"4497","prodcode","Ventolin accuhaler 200 200microgram/actuation Inhalation powder (Glaxo Wellcome UK Ltd)","52214020"
"4499","prodcode","Aerobec 250microgram/actuation Pressurised inhalation (Meda Pharmaceuticals Ltd)","54706020"
"4514","prodcode","Aminophylline 350mg modified-release tablets","67438020"
"4541","prodcode","Bricanyl SA 7.5mg tablets (AstraZeneca UK Ltd)","53664020"
"4545","prodcode","Pulmicort LS 50microgram Refill canister (AstraZeneca UK Ltd)","53691020"
"4591","prodcode","Choledyl 100mg Tablet (Parke-davis Research Laboratories)","48656020"
"4592","prodcode","Choledyl 200mg Tablet (Parke-davis Research Laboratories)","48657020"
"4593","prodcode","Theophylline 125mg tablets","66980020"
"4601","prodcode","Asmabec 100 Clickhaler (Focus Pharmaceuticals Ltd)","85880020"
"4634","prodcode","Salamol 2.5mg/2.5ml nebuliser liquid Steri-Neb unit dose vials (Teva UK Ltd)","56865020"
"4640","prodcode","Bricanyl 5mg/2ml Nebuliser liquid (AstraZeneca UK Ltd)","48452020"
"4647","prodcode","Intal 5mg/dose Syncroner with spacer (Aventis Pharma)","55098020"
"4665","prodcode","Salbulin 100micrograms/dose inhaler (3M Health Care Ltd)","84485020"
"4688","prodcode","Fluticasone 50microgram/actuation Pressurised inhalation","74991020"
"4759","prodcode","Beclometasone 100microgram inhalation powder capsules","69249020"
"4801","prodcode","Budesonide 500micrograms/2ml nebuliser liquid unit dose vials","65880020"
"4803","prodcode","Beclazone 250microgram/actuation Inhalation powder (Actavis UK Ltd)","82721020"
"4842","prodcode","Fenoterol 100microgram/actuation inhaler","61821020"
"4926","prodcode","Flixotide accuhaler 100 100microgram/inhalation Inhalation powder (Allen & Hanburys Ltd)","75192020"
"4942","prodcode","Budesonide 1mg/2ml nebuliser liquid unit dose vials","65881020"
"5143","prodcode","Seretide 50 Evohaler (GlaxoSmithKline UK Ltd)","86900020"
"5161","prodcode","Seretide 125 Evohaler (GlaxoSmithKline UK Ltd)","79114020"
"5170","prodcode","Salamol 100micrograms/dose inhaler CFC free (Teva UK Ltd)","81157020"
"5172","prodcode","Seretide 250 Evohaler (GlaxoSmithKline UK Ltd)","69006020"
"5185","prodcode","Fenoterol 200micrograms/dose inhaler","61819020"
"5223","prodcode","Fluticasone 50micrograms/dose inhaler CFC free","76452020"
"5261","prodcode","Nuelin SA 250 tablets (Meda Pharmaceuticals Ltd)","52865020"
"5308","prodcode","Terbutaline 5mg/2ml nebuliser liquid unit dose vials","66887020"
"5309","prodcode","Flixotide 50micrograms/dose Evohaler (GlaxoSmithKline UK Ltd)","78909020"
"5453","prodcode","Uniphyllin Continus 400mg tablets (Napp Pharmaceuticals Ltd)","52102020"
"5516","prodcode","Salamol 100micrograms/dose Easi-Breathe inhaler (Teva UK Ltd)","79690020"
"5521","prodcode","Beclometasone 200micrograms/dose dry powder inhaler","77000020"
"5522","prodcode","Beclometasone 100micrograms/dose dry powder inhaler","79503020"
"5551","prodcode","Flixotide 0.5mg/2ml Nebules (GlaxoSmithKline UK Ltd)","57312020"
"5558","prodcode","Salmeterol 50micrograms with fluticasone 500micrograms CFC free inhaler","85658020"
"5580","prodcode","Flixotide accuhaler 50 50microgram/inhalation Inhalation powder (Allen & Hanburys Ltd)","75191020"
"5683","prodcode","Flixotide 250micrograms/dose Evohaler (GlaxoSmithKline UK Ltd)","78908020"
"5718","prodcode","Flixotide 125micrograms/dose Evohaler (GlaxoSmithKline UK Ltd)","78907020"
"5740","prodcode","Airomir 100micrograms/dose Autohaler (Teva UK Ltd)","79575020"
"5753","prodcode","Salbutamol 400micrograms disc","69628020"
"5804","prodcode","Beclometasone 250micrograms/dose dry powder inhaler","76999020"
"5822","prodcode","Fluticasone 250micrograms/dose inhaler CFC free","76451020"
"5837","prodcode","Salamol steri-neb 5mg/2.5ml Nebuliser liquid (Numark Management Ltd)","84225020"
"5864","prodcode","Salmeterol 25micrograms with fluticasone 250micrograms CFC free inhaler","86898020"
"5885","prodcode","Fluticasone propionate 100micrograms/dose dry powder inhaler","75181020"
"5889","prodcode","Salamol 100microgram/inhalation Inhalation powder (Kent Pharmaceuticals Ltd)","79551020"
"5898","prodcode","Salamol steri-neb 2.5mg/2.5ml Nebuliser liquid (Numark Management Ltd)","79609020"
"5941","prodcode","Uniphyllin Continus 300mg tablets (Napp Pharmaceuticals Ltd)","52101020"
"5942","prodcode","Salmeterol 50micrograms with fluticasone 250micrograms CFC free inhaler","85657020"
"5975","prodcode","Fluticasone 125micrograms/dose inhaler CFC free","76450020"
"5992","prodcode","Beclometasone 50micrograms/dose dry powder inhaler","79502020"
"6050","prodcode","Spiriva 18 microgram Capsule (Boehringer Ingelheim Ltd)","84108020"
"6081","prodcode","Ipratropium bromide 20micrograms/dose breath actuated inhaler","63609020"
"6315","prodcode","Slo-Phyllin 250mg capsules (Merck Serono Ltd)","87003020"
"6325","prodcode","Symbicort 200/6 Turbohaler (AstraZeneca UK Ltd)","81548020"
"6462","prodcode","Salbutamol 95micrograms/dose dry powder inhaler","69895020"
"6512","prodcode","Atrovent 20micrograms/dose inhaler CFC free (Boehringer Ingelheim Ltd)","87824020"
"6522","prodcode","Ipratropium bromide 20micrograms/dose inhaler CFC free","87822020"
"6526","prodcode","Formoterol 12microgram inhalation powder capsules with device","80413020"
"6569","prodcode","Salmeterol 25micrograms with fluticasone 125micrograms CFC free inhaler","86897020"
"6616","prodcode","Salmeterol 25micrograms with fluticasone 50micrograms CFC free inhaler","86896020"
"6719","prodcode","Ipratropium bromide 500micrograms/2ml nebuliser liquid unit dose vials","88593020"
"6746","prodcode","Budesonide 400micrograms/dose / Formoterol 12micrograms/dose dry powder inhaler","76616020"
"6758","prodcode","Ipratropium 250micrograms/1ml nebuliser liquid Steri-Neb unit dose vials (Teva UK Ltd)","88632020"
"6772","prodcode","Ipratropium bromide 250micrograms/1ml nebuliser liquid unit dose vials","88591020"
"6780","prodcode","Symbicort 400/12 Turbohaler (AstraZeneca UK Ltd)","79213020"
"6796","prodcode","Budesonide 200micrograms/dose / Formoterol 6micrograms/dose dry powder inhaler","86176020"
"6839","prodcode","Alvesco 160 inhaler (Takeda UK Ltd)","88722020"
"6911","prodcode","Atrovent 250micrograms/1ml nebuliser liquid UDVs (Boehringer Ingelheim Ltd)","88595020"
"6938","prodcode","Salmeterol 50micrograms with fluticasone 100micrograms dry powder inhaler","85656020"
"6988","prodcode","Aminophylline hydrate 100mg modified-release tablets","89366020"
"7013","prodcode","Symbicort 100/6 Turbohaler (AstraZeneca UK Ltd)","81547020"
"7017","prodcode","Salbutamol 100micrograms/dose dry powder inhaler","88294020"
"7133","prodcode","Formoterol 12micrograms/dose dry powder inhaler","85743020"
"7140","prodcode","Atrovent 500micrograms/2ml nebuliser liquid UDVs (Boehringer Ingelheim Ltd)","88597020"
"7192","prodcode","Bambuterol 10mg tablets","74357020"
"7268","prodcode","Serevent 25micrograms/dose Evohaler (GlaxoSmithKline UK Ltd)","90175020"
"7270","prodcode","Salmeterol 25micrograms/dose inhaler CFC free","90173020"
"7356","prodcode","Ciclesonide 80micrograms/dose inhaler CFC free","88708020"
"7576","prodcode","BECLOMETHASONE DIPROPRIONATE CART 200 MCG","06379007"
"7602","prodcode","Fluticasone 50microgram Disc","74458020"
"7638","prodcode","Fluticasone 250microgram Disc","74460020"
"7653","prodcode","Beclometasone 400microgram inhalation powder capsules","69251020"
"7711","prodcode","Terbutaline 250micrograms/dose inhaler with spacer","66883020"
"7730","prodcode","Theo-Dur 300mg tablets (AstraZeneca UK Ltd)","51919020"
"7731","prodcode","Theo-Dur 200mg tablets (AstraZeneca UK Ltd)","51918020"
"7732","prodcode","Theophylline 300mg modified-release tablets","66989020"
"7733","prodcode","Theophylline 250mg modified-release tablets","66986020"
"7788","prodcode","Budesonide 100micrograms/dose dry powder inhaler","52571020"
"7832","prodcode","Choline theophyllinate 200mg tablets","61303020"
"7841","prodcode","Nuelin 125mg tablets (3M Health Care Ltd)","50785020"
"7891","prodcode","Fluticasone 500microgram Disc","75184020"
"7935","prodcode","Maxivent 100microgram/inhalation Inhalation powder (Ashbourne Pharmaceuticals Ltd)","70528020"
"7948","prodcode","Fluticasone propionate 250micrograms/dose dry powder inhaler","79604020"
"7954","prodcode","Bricanyl 250micrograms/dose spacer inhaler (AstraZeneca UK Ltd)","48449020"
"7964","prodcode","Beclometasone 50micrograms/ml nebuliser suspension","69254020"
"7965","prodcode","Salbutamol 5mg/ml nebuliser liquid","67868020"
"7972","prodcode","Intal 5mg/dose Fisonair with spacer (Sanofi)","74426020"
"8056","prodcode","Aminophylline 100mg tablets","59196020"
"8057","prodcode","Aminophylline 100mg modified-release tablets","71059020"
"8111","prodcode","Becloforte vm 250microgram/actuation VM pack (Allen & Hanburys Ltd)","48310020"
"8215","prodcode","Tilade 2mg/inhalation Inhalation powder (Sanofi)","59163020"
"8267","prodcode","Sodium cromoglicate 1mg/dose / Salbutamol 100micrograms/dose inhaler","72092020"
"8333","prodcode","Ipratropium bromide 40microgram inhalation powder capsules","72266020"
"8339","prodcode","FENOTEROL HYDROBROMIDE COMPLETE UNIT INH","02580007"
"8433","prodcode","Budesonide 100micrograms/actuation inhaler","64258020"
"8470","prodcode","AMINOPHYLLINE 225 MG SUP","05594007"
"8498","prodcode","Sodium cromoglicate 20mg/2ml nebuliser liquid unit dose vials","61058020"
"8522","prodcode","Terbutaline 7.5mg modified-release tablets","66899020"
"8608","prodcode","Nedocromil sodium 2mg/inhalation inhaler","64956020"
"8610","prodcode","AMINOPHYLLINE 1 GM SUP","06245007"
"8635","prodcode","Flixotide 50microgram Disc (Allen & Hanburys Ltd)","74453020"
"8653","prodcode","AMINOPHYLLINE 360 MG SUP","00182007"
"8676","prodcode","Terbutaline 10mg/ml nebuliser liquid","66888020"
"8806","prodcode","Phyllocontin continus 350mg Tablet (Napp Pharmaceuticals Ltd)","55545020"
"8955","prodcode","THEOPHYLLINE 100 MG TAB","03510007"
"9092","prodcode","Theophylline 350mg modified release tablets","66990020"
"9164","prodcode","Fluticasone propionate 50micrograms/dose dry powder inhaler","75180020"
"9233","prodcode","Beclometasone 200microgram inhalation powder capsules","69250020"
"9270","prodcode","Ipratropium bromide with fenoterol hydrobromide 500micrograms + 1.25mg/4ml","51108020"
"9384","prodcode","Salbutamol 4mg modified-release capsules","69673020"
"9477","prodcode","Asmabec 100microgram/actuation Spacehaler (Celltech Pharma Europe Ltd)","85796020"
"9571","prodcode","Beclometasone 250micrograms/actuation vortex inhaler","81507020"
"9577","prodcode","Asmabec 50 Clickhaler (Focus Pharmaceuticals Ltd)","85879020"
"9599","prodcode","Beclazone 50microgram/actuation Inhalation powder (Actavis UK Ltd)","82719020"
"9635","prodcode","Zaditen 1mg/5ml Oral solution (Novartis Pharmaceuticals UK Ltd)","52327020"
"9651","prodcode","Asmasal 100microgram/inhalation Spacehaler (Celltech Pharma Europe Ltd)","85793020"
"9681","prodcode","Atrovent aerohaler 40microgram Inhalation powder (Boehringer Ingelheim Ltd)","72269020"
"9711","prodcode","Formoterol 6micrograms/dose dry powder inhaler","85742020"
"9921","prodcode","Beclometasone 100micrograms/dose breath actuated inhaler CFC free","86879020"
"10090","prodcode","Beclometasone 50micrograms/actuation extrafine particle cfc free inhaler","86870020"
"10102","prodcode","Ciclesonide 160micrograms/dose inhaler CFC free","88716020"
"10218","prodcode","Budesonide 100micrograms/dose / Formoterol 6micrograms/dose dry powder inhaler","86175020"
"10254","prodcode","Mometasone 400micrograms/dose dry powder inhaler","84120020"
"10289","prodcode","AMINOPHYLLINE 200 MG SUP","05365007"
"10321","prodcode","Budesonide 400microgram inhalation powder capsules","84348020"
